firstname,lastname,lastteam,age,height,weight,experience,careerfg,careerfg3,careerfg3a,careerfg3perc,careerfga,careerfgperc,careerftperc,careergamesplayed,careerminutes,careerppg,2013fg,2013fg3,2013fg3a,2013fg3perc,2013fga,2013fgperc,2013ftperc,2013gamesplayed,2013minutes,vol3ptcareer,vol3pt2013,usagecareer,usage2013,2014fg3perc
Maalik,Wayns,Los Angeles Clippers,22,73,195,1.0,27,7,31,22.6,90,30.0,89.5,29,211,2.7,1,0,0,0.0,2,50.0,0.0,2,9,0.14691943127962084,0.0,654.8275862068965,9.0,33.4434573433017
Martell,Webster,Washington Wizards,28,79,230,9.0,1672,780,2024,38.5,3971,42.1,79.3,548,13564,9.0,254,146,372,39.2,587,43.3,84.0,78,2157,0.1492185196107343,0.17246175243393602,98289.49635036496,16232.807692307693,38.70080905409487
David,West,Indiana Pacers,34,81,250,11.0,4878,47,182,25.8,9955,49.0,82.3,765,24445,15.8,458,4,15,26.7,939,48.8,78.9,80,2472,0.007445285334424219,0.006067961165048544,318104.5424836601,29015.1,18.948141957688996
Russell,Westbrook,Oklahoma City Thunder,26,75,200,6.0,3300,335,1101,30.4,7595,43.4,81.6,457,15468,20.4,346,68,214,31.8,791,43.7,82.6,46,1412,0.07117920868890612,0.15155807365439095,257066.6520787746,24280.260869565216,30.554204363531248
Royce,White,Sacramento Kings,22,80,260,1.0,0,0,0,0.0,1,0.0,0.0,3,9,0.0,0,0,0,0.0,1,0.0,0.0,3,9,0.0,0.0,3.0,3.0,0.0
Deron,Williams,Brooklyn Nets,30,75,200,9.0,4124,949,2648,35.8,9149,45.1,81.9,675,23890,17.3,322,98,268,36.6,716,45.0,80.1,64,2059,0.11084135621598996,0.13016027197668772,323806.8296296297,23035.0625,36.1023871049609
Derrick,Williams,Sacramento Kings,23,80,240,3.0,806,139,466,29.8,1893,42.6,70.3,247,5524,9.3,206,26,99,26.3,482,42.7,71.8,78,1820,0.08435916002896451,0.0543956043956044,42335.75708502024,11246.666666666668,27.89018908052201
Elliot,Williams,Philadelphia 76ers,25,77,190,4.0,177,45,152,29.6,411,43.1,67.9,91,1307,5.4,140,37,125,29.6,337,41.5,73.1,67,1157,0.11629686304514154,0.108038029386344,5903.043956043956,5819.537313432836,27.670592717118417
Lou,Williams,Toronto Raptors,28,73,175,9.0,2245,578,1679,34.4,5369,41.8,81.1,584,13216,11.6,197,79,231,34.2,493,40.0,84.9,60,1445,0.12704297820823246,0.15986159169550174,121501.20547945205,11873.083333333336,38.04973404506673
Marvin,Williams,Charlotte Hornets,28,81,237,9.0,2505,388,1150,33.7,5608,44.7,80.2,655,18940,10.6,231,84,234,35.9,526,43.9,78.1,66,1674,0.06071805702217529,0.13978494623655913,162161.09923664122,13341.272727272728,30.704532515218062
Mo,Williams,Minnesota Timberwolves,32,73,198,11.0,3661,960,2510,38.2,8377,43.7,86.9,731,21710,13.2,280,83,225,36.9,672,41.7,87.6,74,1833,0.11561492399815755,0.12274959083469722,248788.87824897398,16645.62162162162,37.833097486510766
Reggie,Williams,Miami Heat,28,78,207,5.0,576,191,515,37.1,1251,46.0,74.3,180,3551,8.5,5,1,3,33.3,9,55.6,0.0,3,17,0.1450295691354548,0.17647058823529413,24679.45,51.0,33.039185082211254
Shawne,Williams,Miami Heat,28,82,230,7.0,617,264,756,34.9,1507,40.9,74.6,282,5040,6.0,73,42,129,32.6,192,38.0,70.0,36,751,0.15,0.1717709720372836,26933.6170212766,4005.333333333333,32.70931617983335
Jeff,Withey,New Orleans Pelicans,24,84,222,1.0,84,0,1,0.0,156,53.8,71.6,75,799,3.1,69,0,1,0.0,129,53.5,71.2,58,684,0.0012515644555694619,0.0014619883040935672,1661.92,1521.310344827586,3.7112925760901647
Nate,Wolters,Milwaukee Bucks,23,76,190,1.0,179,18,66,27.3,412,43.4,63.8,67,1414,6.5,170,18,62,29.0,389,43.7,65.6,58,1309,0.04667609618104668,0.047364400305576766,8695.044776119403,8779.327586206897,21.731575991073207
Brandan,Wright,Boston Celtics,27,82,210,6.0,970,0,8,0.0,1592,60.9,68.6,316,5008,7.2,224,0,0,0.0,331,67.7,72.6,58,1077,0.001597444089456869,0.0,25230.177215189877,6146.327586206897,4.598757704733839
Chris,Wright,Milwaukee Bucks,26,81,226,2.0,44,0,1,0.0,80,55.0,65.2,32,311,3.7,21,0,1,0.0,35,60.0,40.0,8,126,0.003215434083601286,0.007936507936507936,777.5,551.25,0.37137761833953675
Dorell,Wright,Portland Trail Blazers,29,81,205,10.0,1598,585,1604,36.5,3752,42.6,80.8,514,11811,8.6,111,69,202,34.2,297,37.4,75.4,68,984,0.13580560494454322,0.20528455284552846,86215.70428015564,4297.764705882352,36.86034917366274
Tony,Wroten,Philadelphia 76ers,21,78,205,2.0,504,71,299,23.7,1196,42.1,65.1,129,2710,10.8,345,40,188,21.3,808,42.7,64.1,72,1765,0.1103321033210332,0.10651558073654392,25125.271317829458,19807.222222222223,27.340011283320933
Nick,Young,Los Angeles Lakers,29,79,210,7.0,2214,632,1659,38.1,5182,42.7,83.0,500,11900,12.3,387,135,350,38.6,889,43.5,82.5,64,1810,0.13941176470588235,0.1933701657458564,123331.6,25142.03125,37.63371564809786
Thaddeus,Young,Minnesota Timberwolves,26,80,221,7.0,3168,216,677,31.9,6372,49.7,69.2,540,16283,13.8,582,90,292,30.8,1283,45.4,71.2,79,2718,0.04157710495608917,0.10743193524650478,192139.4,44141.69620253165,27.636635560986
Cody,Zeller,Charlotte Hornets,22,84,240,1.0,254,0,1,0.0,587,43.3,74.0,113,2132,6.4,172,0,1,0.0,404,42.6,73.0,82,1417,0.00046904315196998124,0.0007057163020465772,11075.0796460177,6981.317073170731,5.538518018264346
Tyler,Zeller,Boston Celtics,24,84,253,2.0,506,0,5,0.0,1015,49.9,76.4,175,3622,7.3,156,0,1,0.0,290,53.8,71.9,70,1049,0.0013804527885146328,0.0009532888465204957,21007.6,4345.857142857143,4.619183049314694
Jordan,Adams,Memphis Grizzlies,20,77,209,0.0,373,98,296,33.1,798,46.7,83.9,69,2081,16.4,208,52,146,35.6,429,48.5,83.6,36,1082,0.14223930802498802,0.13493530499075784,24067.217391304344,12893.833333333332,36.912077190053125
Kyle,Anderson,San Antonio Spurs,21,81,230,0.0,303,36,96,37.5,670,45.2,73.6,71,2242,12.2,181,28,58,48.3,377,48.0,73.7,36,1196,0.04281891168599464,0.048494983277591976,21156.901408450707,12524.777777777776,27.443908945307026
Cameron,Bairstow,Chicago Bulls,24,81,250,0.0,418,2,6,33.3,808,51.7,71.7,134,2787,9.2,237,1,3,33.3,426,55.6,73.5,34,1119,0.002152852529601722,0.0026809651474530827,16805.194029850747,14020.411764705883,20.39813596982552
Markel,Brown,Brooklyn Nets,22,75,190,0.0,551,146,420,34.8,1254,43.9,73.3,134,4088,12.4,190,55,145,37.9,402,47.3,76.8,34,1201,0.10273972602739724,0.12073272273105745,38256.35820895522,14200.05882352941,33.009508871719426
Jordan,Clarkson,Los Angeles Lakers,22,77,185,0.0,473,95,295,32.2,1076,44.0,80.5,93,2952,15.4,209,32,114,28.1,468,44.7,83.1,35,1228,0.09993224932249324,0.09283387622149836,34154.32258064516,16420.114285714288,32.90031627781466
Andre,Dawkins,Miami Heat,23,77,219,0.0,330,231,568,40.7,763,43.3,76.9,141,2465,7.2,84,64,152,42.1,189,44.4,81.1,33,453,0.2304259634888438,0.3355408388520971,13338.971631205677,2594.454545454545,44.57614617548658
Spencer,Dinwiddie,Detroit Pistons,21,78,200,0.0,290,115,298,38.6,690,42.0,83.0,86,2590,13.0,61,26,63,41.3,131,46.6,85.7,17,529,0.11505791505791504,0.11909262759924386,20780.23255813953,4076.4117647058815,37.21591026874179
Cleanthony,Early,New York Knicks,23,80,220,0.0,371,113,324,34.9,789,47.0,81.9,75,1965,15.1,187,66,176,37.5,385,48.6,84.4,36,986,0.1648854961832061,0.17849898580121706,20671.8,10544.722222222224,36.306579928910665
Tyler,Ennis,Phoenix Suns,20,74,180,0.0,148,30,85,35.3,360,41.1,76.5,34,1215,12.9,148,30,85,35.3,360,41.1,76.5,34,1215,0.06995884773662553,0.06995884773662553,12864.705882352939,12864.705882352939,32.24829957756789
Aaron,Gordon,Orlando Magic,19,81,220,0.0,189,16,45,35.6,382,49.5,42.2,38,1187,12.4,189,16,45,35.6,382,49.5,42.2,38,1187,0.03791069924178602,0.03791069924178602,11932.473684210527,11932.473684210527,23.81120101223575
Jerami,Grant,Philadelphia 76ers,20,80,210,0.0,187,6,20,30.0,385,48.6,64.1,72,1577,7.5,133,0,5,0.0,268,49.6,67.4,32,1005,0.012682308180088777,0.0049751243781094535,8432.569444444445,8416.875,25.297347046693258
Gary,Harris,Denver Nuggets,20,76,210,0.0,345,146,388,37.6,784,44.0,78.8,69,2141,14.9,195,81,230,35.2,455,42.9,81.0,35,1131,0.18122372723026625,0.20335985853227231,24326.724637681156,14703.0,41.797055071617876
Joe,Harris,Cleveland Cavaliers,23,78,225,0.0,568,263,646,40.7,1276,44.5,72.2,135,4084,12.6,149,72,180,40.0,338,44.1,64.0,37,1066,0.15817825661116552,0.16885553470919326,38601.36296296297,9738.054054054051,38.159643777763236
Rodney,Hood,Utah Jazz,22,80,215,0.0,318,118,298,39.6,699,45.5,77.3,67,2200,13.3,191,71,169,42.0,412,46.4,80.7,35,1150,0.13545454545454547,0.14695652173913046,22952.23880597015,13537.142857142859,36.67867743701005
Cory,Jefferson,Brooklyn Nets,24,81,218,0.0,431,17,50,34.0,794,54.3,66.0,128,2589,9.1,184,14,38,36.8,368,50.0,64.0,38,1103,0.01931247585940517,0.03445149592021759,16059.890625,10681.684210526317,22.140090840507874
Nick,Johnson,Houston Rockets,22,75,202,0.0,441,144,401,35.9,1048,42.1,73.4,108,3339,12.3,205,62,169,36.7,474,43.2,78.1,38,1257,0.12009583707696915,0.13444709626093873,32400.66666666667,15679.421052631576,34.26821594557321
Alex,Kirk,Cleveland Cavaliers,23,84,245,0.0,386,35,139,25.2,791,48.8,68.4,101,2552,10.0,165,12,56,21.4,337,49.0,66.7,32,1025,0.05446708463949843,0.05463414634146342,19986.455445544554,10794.53125,20.72079401615622
Zach,LaVine,Minnesota Timberwolves,19,77,183,0.0,127,48,128,37.5,288,44.1,69.1,37,904,9.4,127,48,128,37.5,288,44.1,69.1,37,904,0.1415929203539823,0.1415929203539823,7036.540540540541,7036.540540540541,38.467566779202855
Devyn,Marble,Orlando Magic,22,78,200,0.0,556,132,391,33.8,1343,41.4,72.6,135,3716,12.4,183,52,149,34.9,436,42.0,71.4,33,995,0.10522066738428418,0.14974874371859295,36967.318518518514,13146.060606060606,32.370716135863546
Doug,McDermott,Chicago Bulls,22,80,225,0.0,1141,274,598,45.8,2075,55.0,83.1,145,4570,21.7,330,96,214,44.9,627,52.6,86.4,35,1181,0.13085339168490154,0.18120237087214225,65398.275862068964,21156.771428571432,41.38733247814154
Mitch,McGary,Oklahoma City Thunder,22,82,255,0.0,164,0,2,0.0,279,58.8,51.3,47,967,7.8,30,0,2,0.0,55,54.5,66.7,8,198,0.002068252326783868,0.010101010101010102,5740.276595744682,1361.25,0.5370914410988294
Eric,Moreland,Sacramento Kings,23,82,218,0.0,238,8,24,33.3,445,53.5,53.1,88,2227,7.3,66,1,2,50.0,130,50.8,55.6,20,588,0.010776829815895823,0.003401360544217687,11261.534090909092,3822.0,18.099628886425094
Shabazz,Napier,Miami Heat,23,73,175,0.0,595,260,693,37.5,1447,41.1,81.3,143,4609,13.7,213,87,215,40.5,496,42.9,87.0,40,1404,0.15035799522673032,0.15313390313390313,46637.92307692306,17409.600000000002,39.18919033974273
Johnny,O'Bryant,Milwaukee Bucks,21,81,265,0.0,447,6,26,23.1,956,46.8,61.9,91,2465,12.7,203,1,2,50.0,409,49.6,63.4,34,1020,0.010547667342799187,0.0019607843137254897,25896.043956043955,12270.0,13.166078861860191
Jabari,Parker,Milwaukee Bucks,19,80,240,0.0,236,38,106,35.8,499,47.3,74.8,35,1074,19.1,236,38,106,35.8,499,47.3,74.8,35,1074,0.09869646182495344,0.09869646182495344,15312.171428571432,15312.171428571432,32.8460114555216
Adreian,Payne,Atlanta Hawks,23,82,245,0.0,447,61,149,40.9,850,52.6,75.5,138,2759,8.9,178,44,104,42.3,354,50.3,79.0,31,870,0.054005074302283435,0.11954022988505747,16993.840579710144,9934.83870967742,29.82061120490142
Elfrid,Payton,Orlando Magic,20,76,185,0.0,501,30,112,26.8,1032,48.5,61.1,100,3155,14.3,237,14,54,25.9,466,50.9,60.9,35,1258,0.03549920760697306,0.04292527821939587,32559.6,16749.37142857143,23.673430157303617
Dwight,Powell,Dallas Mavericks,23,83,240,0.0,515,33,114,28.9,1110,46.4,72.2,136,3569,10.8,175,10,39,25.6,379,46.2,68.7,36,1167,0.031941720369851496,0.033419023136246784,29129.338235294123,12285.916666666668,22.12534455897113
Julius,Randle,Los Angeles Lakers,20,81,250,0.0,196,3,18,16.7,392,50.0,70.6,40,1233,15.0,196,3,18,16.7,392,50.0,70.6,40,1233,0.0145985401459854,0.0145985401459854,12083.4,12083.4,14.838300780986136
Glenn,Robinson,Minnesota Timberwolves,20,79,222,0.0,349,56,179,31.3,665,52.5,71.8,76,2506,12.0,182,33,108,30.6,373,48.8,75.7,37,1194,0.07142857142857142,0.09045226130653268,21927.5,12036.81081081081,28.524246153185135
JaKarr,Sampson,Philadelphia 76ers,21,81,214,0.0,383,1,13,7.7,816,46.9,60.7,66,1997,13.9,181,1,5,20.0,366,49.5,56.5,33,957,0.006509764646970456,0.00522466039707419,24690.181818181816,10614.0,7.935903660229141
Marcus,Smart,Boston Celtics,20,76,220,0.0,314,87,295,29.5,760,41.3,75.1,64,2120,16.6,163,49,164,29.9,386,42.2,72.8,31,1014,0.1391509433962264,0.16173570019723865,25175.0,12625.935483870966,33.1329398528846
Russ,Smith,New Orleans Pelicans,23,72,165,0.0,620,180,521,34.5,1501,41.3,76.0,133,3228,14.3,225,70,181,38.7,481,46.8,70.5,37,1084,0.1614002478314746,0.1669741697416974,36430.28571428572,14092.0,37.83467979320814
Nik,Stauskas,Sacramento Kings,21,78,205,0.0,323,172,390,44.1,692,46.7,83.2,75,2471,14.1,185,92,208,44.2,394,47.0,82.4,36,1281,0.15783083771752324,0.16237314597970334,22799.09333333333,14019.833333333336,43.20151218568633
Jarnell,Stokes,Memphis Grizzlies,20,81,263,0.0,411,0,3,0.0,776,53.0,62.8,87,2587,13.0,199,0,0,0.0,375,53.1,69.6,37,1199,0.0011596443757247775,0.0,23074.85057471264,12152.027027027028,4.226586350574448
Noah,Vonleh,Charlotte Hornets,19,82,240,0.0,113,16,33,48.5,216,52.3,71.6,30,794,11.3,113,16,33,48.5,216,52.3,71.6,30,794,0.0415617128463476,0.0415617128463476,5716.8,5716.8,34.3419618910496
Travis,Wear,New York Knicks,24,82,225,0.0,413,26,61,42.6,810,51.0,78.9,123,2801,8.3,105,11,25,44.0,198,53.0,83.3,34,812,0.021777936451267403,0.030788177339901482,18445.609756097558,4728.705882352941,28.501888819073155
Shayne,Whittington,Indiana Pacers,23,83,250,0.0,419,8,49,16.3,816,51.3,76.0,114,2588,9.9,188,6,33,18.2,357,52.7,77.0,31,987,0.01893353941267388,0.03343465045592705,18524.631578947367,11366.419354838708,14.122494055096784
Andrew,Wiggins,Minnesota Timberwolves,19,80,199,0.0,189,43,126,34.1,422,44.8,77.5,35,1148,17.1,189,43,126,34.1,422,44.8,77.5,35,1148,0.1097560975609756,0.1097560975609756,13841.6,13841.6,34.937688742710705
James,Young,Boston Celtics,19,78,215,0.0,183,82,235,34.9,450,40.7,70.6,40,1296,14.3,183,82,235,34.9,450,40.7,70.6,40,1296,0.1813271604938272,0.1813271604938272,14580.0,14580.0,39.15943833275125
